time,open,high,low,close,volume,bid,ask,spread
2026-06-15 10:17:02,30398.00,30398.25,30395.75,30396.25,27,30397.25,30398.25,1.00
2026-06-15 10:17:03,30395.75,30397.50,30394.75,30397.25,29,30396.25,30397.75,1.50
2026-06-15 10:17:04,30399.25,30400.25,30397.00,30397.00,19,30398.50,30399.50,1.00
2026-06-15 10:17:05,30397.25,30399.25,30396.50,30399.00,10,30397.00,30398.00,1.00
2026-06-15 10:17:06,30398.75,30400.00,30397.75,30397.75,15,30398.50,30399.75,1.25
2026-06-15 10:17:07,30398.25,30399.50,30396.25,30399.50,10,30399.75,30401.00,1.25
2026-06-15 10:17:08,30399.00,30400.00,30396.75,30400.00,11,30401.50,30402.50,1.00
2026-06-15 10:17:09,30402.25,30404.50,30401.50,30403.00,16,30406.50,30407.50,1.00
2026-06-15 10:17:10,30401.00,30408.50,30401.00,30408.00,29,30404.75,30405.75,1.00
2026-06-15 10:17:11,30408.25,30408.50,30404.50,30404.75,35,30407.75,30408.75,1.00
2026-06-15 10:17:12,30404.50,30406.50,30404.50,30406.50,6,30406.25,30407.50,1.25
2026-06-15 10:17:13,30408.50,30408.50,30407.25,30408.00,10,30407.75,30408.75,1.00
2026-06-15 10:17:14,30407.50,30410.75,30407.50,30407.75,23,30406.25,30407.25,1.00
2026-06-15 10:17:15,30409.00,30409.75,30407.50,30407.50,29,30403.75,30404.75,1.00
2026-06-15 10:17:16,30406.25,30407.75,30404.50,30404.50,6,30406.50,30407.75,1.25
2026-06-15 10:17:17,30404.00,30407.00,30404.00,30407.00,11,30402.25,30403.25,1.00
2026-06-15 10:17:18,30406.25,30406.25,30402.50,30402.50,10,30400.25,30401.25,1.00
2026-06-15 10:17:19,30402.25,30403.75,30400.25,30400.25,15,30401.50,30402.75,1.25
2026-06-15 10:17:20,30401.25,30403.50,30401.25,30402.25,8,30400.00,30401.00,1.00
2026-06-15 10:17:21,30401.50,30402.00,30400.00,30400.00,7,30399.00,30400.25,1.25
2026-06-15 10:17:22,30400.00,30400.75,30397.50,30397.50,6,30395.00,30396.25,1.25
2026-06-15 10:17:23,30400.50,30400.50,30395.75,30395.75,24,30392.25,30393.75,1.50
2026-06-15 10:17:24,30395.00,30396.50,30392.75,30392.75,44,30393.25,30394.25,1.00
2026-06-15 10:17:25,30392.75,30395.25,30391.50,30393.25,57,30394.75,30395.75,1.00
2026-06-15 10:17:26,30393.50,30396.00,30392.75,30396.00,29,30399.00,30400.25,1.25
2026-06-15 10:17:27,30394.25,30400.75,30393.00,30400.25,29,30398.00,30399.25,1.25
2026-06-15 10:17:28,30400.00,30401.25,30398.75,30399.25,24,30396.25,30397.25,1.00
2026-06-15 10:17:29,30398.50,30398.75,30397.00,30397.75,6,30396.50,30397.75,1.25
2026-06-15 10:17:30,30396.00,30398.25,30395.75,30396.75,7,30396.00,30397.25,1.25
2026-06-15 10:17:31,30398.25,30399.25,30395.50,30396.50,16,30400.25,30401.50,1.25
2026-06-15 10:17:32,30398.25,30400.75,30397.50,30400.75,7,30398.00,30399.50,1.50
2026-06-15 10:17:33,30400.00,30401.00,30399.75,30401.00,4,30400.75,30402.00,1.25
2026-06-15 10:17:34,30400.50,30402.50,30399.50,30401.75,16,30405.00,30406.50,1.50
2026-06-15 10:17:35,30403.00,30408.25,30403.00,30408.25,33,30406.00,30406.75,0.75
2026-06-15 10:17:36,30406.25,30408.50,30405.50,30406.00,17,30412.00,30413.00,1.00
2026-06-15 10:17:37,30407.00,30413.50,30407.00,30413.25,62,30416.25,30417.00,0.75
2026-06-15 10:17:38,30414.00,30416.50,30410.75,30416.00,84,30417.00,30418.25,1.25
