time,open,high,low,close,volume,bid,ask,spread
2026-08-26 09:49:34,29281.75,29282.50,29280.50,29282.25,112,29281.25,29281.50,0.25
2026-08-26 09:49:35,29282.00,29283.00,29280.50,29280.75,97,29281.50,29282.00,0.50
2026-08-26 09:49:36,29280.50,29283.75,29280.50,29282.50,97,29282.00,29282.50,0.50
2026-08-26 09:49:37,29282.50,29282.50,29281.00,29282.50,38,29282.50,29283.00,0.50
2026-08-26 09:49:38,29282.25,29282.75,29281.50,29282.50,47,29282.25,29282.75,0.50
2026-08-26 09:49:39,29282.75,29284.25,29282.25,29283.25,53,29283.75,29284.25,0.50
2026-08-26 09:49:40,29283.75,29285.75,29283.75,29284.50,83,29283.50,29284.00,0.50
2026-08-26 09:49:41,29283.75,29284.75,29281.50,29282.00,128,29282.00,29282.25,0.25
2026-08-26 09:49:42,29282.00,29284.75,29282.00,29284.25,55,29284.00,29284.50,0.50
2026-08-26 09:49:43,29284.50,29284.50,29281.75,29282.75,30,29282.00,29282.50,0.50
2026-08-26 09:49:44,29282.75,29283.25,29281.25,29281.50,64,29281.25,29281.75,0.50
2026-08-26 09:49:45,29281.75,29282.00,29278.50,29278.75,192,29278.75,29279.25,0.50
2026-08-26 09:49:46,29279.25,29279.50,29276.25,29276.50,222,29276.00,29276.50,0.50
2026-08-26 09:49:47,29276.50,29278.00,29274.00,29274.50,235,29275.00,29275.50,0.50
2026-08-26 09:49:48,29274.25,29279.75,29274.25,29279.75,178,29278.25,29278.75,0.50
2026-08-26 09:49:49,29279.75,29279.75,29277.50,29277.50,116,29277.00,29277.25,0.25
2026-08-26 09:49:50,29277.75,29278.50,29274.75,29278.25,112,29276.75,29277.25,0.50
2026-08-26 09:49:51,29277.75,29278.25,29276.00,29277.50,92,29277.00,29277.50,0.50
2026-08-26 09:49:52,29277.25,29277.75,29275.50,29276.75,77,29278.50,29278.75,0.25
2026-08-26 09:49:53,29276.50,29279.50,29276.50,29278.25,114,29276.00,29276.25,0.25
2026-08-26 09:49:54,29278.00,29278.00,29275.75,29277.25,109,29277.00,29277.25,0.25
2026-08-26 09:49:55,29277.00,29280.75,29277.00,29279.50,127,29279.25,29279.75,0.50
2026-08-26 09:49:56,29279.50,29279.50,29276.00,29276.25,84,29276.25,29276.50,0.25
2026-08-26 09:49:57,29276.50,29276.50,29275.00,29275.25,60,29275.25,29275.50,0.25
2026-08-26 09:49:58,29275.25,29275.50,29272.00,29273.25,319,29272.00,29272.50,0.50
2026-08-26 09:49:59,29273.00,29273.25,29267.50,29268.75,698,29269.25,29269.50,0.25
2026-08-26 09:50:00,29268.75,29271.25,29268.50,29268.50,213,29269.25,29269.50,0.25
2026-08-26 09:50:01,29268.50,29270.25,29267.75,29269.00,290,29268.25,29268.75,0.50
2026-08-26 09:50:02,29268.75,29269.25,29265.75,29267.75,336,29267.75,29268.25,0.50
2026-08-26 09:50:03,29267.50,29271.50,29267.50,29269.25,318,29269.25,29269.50,0.25
2026-08-26 09:50:04,29269.50,29270.50,29267.25,29268.75,180,29268.50,29269.00,0.50
2026-08-26 09:50:05,29269.00,29271.00,29266.50,29271.00,188,29270.25,29270.75,0.50
2026-08-26 09:50:06,29270.75,29272.00,29269.75,29271.00,123,29270.75,29271.25,0.50
2026-08-26 09:50:07,29271.25,29273.00,29269.50,29270.00,177,29269.50,29270.00,0.50
2026-08-26 09:50:08,29270.00,29270.75,29268.25,29268.75,138,29269.25,29269.50,0.25
2026-08-26 09:50:09,29269.00,29269.50,29266.25,29269.00,208,29268.75,29269.25,0.50
2026-08-26 09:50:10,29269.00,29269.50,29264.25,29265.75,316,29264.00,29264.25,0.25
2026-08-26 09:50:11,29265.50,29265.75,29263.25,29263.75,263,29263.50,29264.00,0.50
