time,open,high,low,close,volume,bid,ask,spread
2026-05-29 10:17:39,30418.75,30418.75,30416.00,30417.50,168,30416.50,30416.75,0.25
2026-05-29 10:17:40,30417.00,30417.25,30415.00,30416.50,291,30416.50,30416.75,0.25
2026-05-29 10:17:41,30416.50,30417.25,30415.50,30416.25,129,30415.75,30416.50,0.75
2026-05-29 10:17:42,30416.50,30416.50,30412.75,30412.75,473,30413.75,30414.25,0.50
2026-05-29 10:17:43,30413.25,30414.50,30411.25,30414.25,358,30412.75,30413.25,0.50
2026-05-29 10:17:44,30413.75,30414.50,30411.75,30413.50,251,30416.00,30416.50,0.50
2026-05-29 10:17:45,30413.00,30416.75,30413.00,30416.25,158,30418.25,30418.50,0.25
2026-05-29 10:17:46,30415.75,30418.75,30415.50,30418.25,164,30418.25,30418.50,0.25
2026-05-29 10:17:47,30418.50,30419.50,30417.25,30418.75,156,30418.50,30419.00,0.50
2026-05-29 10:17:48,30419.00,30421.50,30418.50,30419.50,180,30418.75,30419.25,0.50
2026-05-29 10:17:49,30419.50,30419.75,30417.75,30419.25,90,30418.75,30419.25,0.50
2026-05-29 10:17:50,30419.00,30419.25,30417.75,30418.50,97,30418.50,30419.00,0.50
2026-05-29 10:17:51,30418.50,30420.50,30418.00,30418.75,135,30416.00,30416.25,0.25
2026-05-29 10:17:52,30418.75,30419.25,30416.00,30416.00,115,30415.00,30415.50,0.50
2026-05-29 10:17:53,30415.75,30416.50,30414.75,30415.00,127,30414.00,30414.25,0.25
2026-05-29 10:17:54,30415.25,30415.75,30413.50,30414.25,77,30412.50,30413.00,0.50
2026-05-29 10:17:55,30414.00,30414.75,30412.25,30413.00,155,30412.25,30412.75,0.50
2026-05-29 10:17:56,30413.00,30414.25,30412.25,30412.25,100,30412.25,30412.75,0.50
2026-05-29 10:17:57,30412.50,30412.75,30407.75,30407.75,359,30405.75,30406.00,0.25
2026-05-29 10:17:58,30407.75,30408.25,30406.00,30406.00,363,30400.00,30400.50,0.50
2026-05-29 10:17:59,30406.00,30406.00,30396.50,30400.50,1946,30402.25,30402.75,0.50
2026-05-29 10:18:00,30400.00,30402.75,30397.75,30402.25,436,30402.25,30402.75,0.50
2026-05-29 10:18:01,30402.25,30404.75,30400.00,30404.25,498,30399.50,30400.00,0.50
2026-05-29 10:18:02,30404.25,30404.25,30398.50,30400.25,501,30405.50,30406.00,0.50
2026-05-29 10:18:03,30400.00,30406.50,30398.50,30405.75,313,30410.75,30411.00,0.25
2026-05-29 10:18:04,30405.50,30410.75,30405.50,30410.25,359,30410.75,30411.00,0.25
2026-05-29 10:18:05,30410.75,30412.00,30408.75,30409.25,271,30404.00,30404.25,0.25
2026-05-29 10:18:06,30409.50,30409.50,30404.25,30404.25,234,30404.00,30404.25,0.25
2026-05-29 10:18:07,30404.50,30406.50,30404.00,30406.00,131,30408.25,30408.75,0.50
2026-05-29 10:18:08,30406.50,30409.50,30406.00,30408.25,116,30408.75,30409.00,0.25
2026-05-29 10:18:09,30408.50,30410.50,30407.50,30409.00,151,30408.50,30409.00,0.50
2026-05-29 10:18:10,30409.00,30409.50,30407.25,30409.50,160,30408.50,30409.00,0.50
2026-05-29 10:18:11,30409.00,30410.75,30407.75,30410.75,229,30413.25,30413.75,0.50
2026-05-29 10:18:12,30410.25,30413.75,30409.50,30413.25,241,30413.75,30414.25,0.50
2026-05-29 10:18:13,30413.75,30414.50,30412.50,30414.50,206,30413.75,30414.25,0.50
2026-05-29 10:18:14,30414.25,30414.75,30411.75,30414.00,205,30409.75,30410.25,0.50
2026-05-29 10:18:15,30414.25,30414.25,30410.00,30410.25,125,30414.25,30414.75,0.50
2026-05-29 10:18:16,30409.75,30414.50,30409.25,30414.50,114,30416.25,30416.50,0.25
2026-05-29 10:18:17,30414.25,30416.75,30413.75,30416.75,174,30415.00,30415.50,0.50
